Index,Date,Time,[uSec],TagID/BPM,Freq [MHz],Codeset,Antenna,Gain,RSSI
163,8/30/2024,21:42:52,784245,24,166.38,Lotek6M,Antenna 1,75,97
164,8/30/2024,21:43:03,886507,24,166.38,Lotek6M,Antenna 1,75,93
165,8/30/2024,21:43:18,689883,24,166.38,Lotek6M,Antenna 1,75,83
166,8/30/2024,21:43:29,792075,24,166.38,Lotek6M,Antenna 1,75,87
167,8/30/2024,21:43:44,594923,24,166.38,Lotek6M,Antenna 1,75,88
168,8/30/2024,21:43:54,702555,89,166.38,Lotek6M,Antenna 1,75,49
169,8/30/2024,21:43:55,697227,24,166.38,Lotek6M,Antenna 1,75,85
170,8/30/2024,21:44:19,503616,89,166.38,Lotek6M,Antenna 1,75,78
171,8/30/2024,21:44:31,411925,201,166.38,Lotek6M,Antenna 1,75,78
172,8/30/2024,21:44:31,904368,89,166.38,Lotek6M,Antenna 1,75,84
173,8/30/2024,21:44:32,704555,24,166.38,Lotek6M,Antenna 1,75,91
174,8/30/2024,21:44:35,4992,89,166.38,Lotek6M,Antenna 1,75,60
175,8/30/2024,21:44:58,609589,24,166.38,Lotek6M,Antenna 1,75,94
176,8/30/2024,21:44:59,806683,89,166.38,Lotek6M,Antenna 1,75,59
177,8/30/2024,21:45:00,412864,201,166.38,Lotek6M,Antenna 1,75,75
178,8/30/2024,21:45:09,712192,24,166.38,Lotek6M,Antenna 1,75,85
179,8/30/2024,21:45:12,13269,999,166.38,Lotek6M,Antenna 1,75,70
180,8/30/2024,21:45:24,515019,24,166.38,Lotek6M,Antenna 1,75,95
181,8/30/2024,21:45:50,420176,24,166.38,Lotek6M,Antenna 1,75,99
182,8/30/2024,21:46:12,624469,24,166.38,Lotek6M,Antenna 1,75,102
183,8/30/2024,21:46:16,324923,24,166.38,Lotek6M,Antenna 1,75,98
184,8/30/2024,21:46:27,427440,24,166.38,Lotek6M,Antenna 1,75,86
185,8/30/2024,21:46:38,529744,24,166.38,Lotek6M,Antenna 1,75,87
186,8/30/2024,21:46:53,332672,24,166.38,Lotek6M,Antenna 1,75,99
187,8/30/2024,21:49:10,259813,24,166.38,Lotek6M,Antenna 1,75,99
188,8/30/2024,21:49:47,520800,201,166.38,Lotek6M,Antenna 1,75,72
189,8/30/2024,21:49:47,874651,25,166.38,Lotek6M,Antenna 1,75,80
190,8/30/2024,21:49:50,420912,201,166.38,Lotek6M,Antenna 1,75,60
191,8/30/2024,21:51:16,86245,24,166.38,Lotek6M,Antenna 1,75,52
192,8/30/2024,21:51:30,888080,24,166.38,Lotek6M,Antenna 1,75,97
193,8/30/2024,21:51:41,991152,24,166.38,Lotek6M,Antenna 1,75,67
194,8/30/2024,21:52:07,895675,24,166.38,Lotek6M,Antenna 1,75,90
195,8/30/2024,21:52:32,825099,201,166.38,Lotek6M,Antenna 1,75,78
196,8/30/2024,21:52:44,903237,999,166.38,Lotek6M,Antenna 1,75,98
197,8/30/2024,21:53:21,910512,24,166.38,Lotek6M,Antenna 1,75,93
198,8/30/2024,21:53:25,610907,24,166.38,Lotek6M,Antenna 1,75,103
199,8/30/2024,21:53:34,442331,89,166.38,Lotek6M,Antenna 1,75,60
200,8/30/2024,21:54:28,524187,24,166.38,Lotek6M,Antenna 1,75,87
201,8/30/2024,21:54:40,235723,25,166.38,Lotek6M,Antenna 1,75,75
202,8/30/2024,21:55:05,531035,24,166.38,Lotek6M,Antenna 1,75,102
203,8/30/2024,21:55:06,529467,201,166.38,Lotek6M,Antenna 1,75,71
204,8/30/2024,21:55:16,633456,24,166.38,Lotek6M,Antenna 1,75,104
205,8/30/2024,21:55:18,129589,201,166.38,Lotek6M,Antenna 1,75,87
206,8/30/2024,21:56:21,931040,201,166.38,Lotek6M,Antenna 1,75,90
207,8/30/2024,21:56:56,554288,24,166.38,Lotek6M,Antenna 1,75,60
208,8/30/2024,21:57:22,459200,24,166.38,Lotek6M,Antenna 1,75,81
209,8/30/2024,21:57:48,934128,201,166.38,Lotek6M,Antenna 1,75,64
210,8/30/2024,21:58:13,461547,89,166.38,Lotek6M,Antenna 1,75,53
211,8/30/2024,21:59:04,336373,201,166.38,Lotek6M,Antenna 1,75,58
212,8/30/2024,21:59:53,637264,201,166.38,Lotek6M,Antenna 1,75,76
213,8/30/2024,21:59:56,537333,201,166.38,Lotek6M,Antenna 1,75,80
214,8/30/2024,22:00:20,94277,24,166.38,Lotek6M,Antenna 1,75,102
215,8/30/2024,22:00:31,196864,24,166.38,Lotek6M,Antenna 1,75,85
216,8/30/2024,22:00:45,999760,999,166.38,Lotek6M,Antenna 1,75,89
217,8/30/2024,22:00:57,438533,201,166.38,Lotek6M,Antenna 1,75,85
218,8/30/2024,22:01:23,6693,24,166.38,Lotek6M,Antenna 1,75,97
219,8/30/2024,22:01:34,109211,24,166.38,Lotek6M,Antenna 1,75,85
220,8/30/2024,22:02:27,341893,201,166.38,Lotek6M,Antenna 1,75,41
221,8/30/2024,22:03:54,484096,89,166.38,Lotek6M,Antenna 1,75,85
222,8/30/2024,22:04:32,44283,201,166.38,Lotek6M,Antenna 1,75,92
223,8/30/2024,22:04:32,358773,25,166.38,Lotek6M,Antenna 1,75,91
224,8/30/2024,22:04:46,544437,201,166.38,Lotek6M,Antenna 1,75,96
225,8/30/2024,22:05:46,375195,25,166.38,Lotek6M,Antenna 1,75,39
226,8/30/2024,22:05:59,47173,201,166.38,Lotek6M,Antenna 1,75,76
227,8/30/2024,22:06:01,946923,201,166.38,Lotek6M,Antenna 1,75,89
228,8/30/2024,22:06:36,748475,201,166.38,Lotek6M,Antenna 1,75,57
229,8/30/2024,22:06:39,647760,201,166.38,Lotek6M,Antenna 1,75,96
230,8/30/2024,22:06:51,248331,201,166.38,Lotek6M,Antenna 1,75,90
231,8/30/2024,22:07:02,848853,201,166.38,Lotek6M,Antenna 1,75,82
232,8/30/2024,22:07:17,349451,201,166.38,Lotek6M,Antenna 1,75,69
233,8/30/2024,22:07:28,398971,89,166.38,Lotek6M,Antenna 1,75,79
234,8/30/2024,22:07:28,949168,201,166.38,Lotek6M,Antenna 1,75,87
235,8/30/2024,22:07:43,449691,201,166.38,Lotek6M,Antenna 1,75,87
236,8/30/2024,22:08:06,650267,201,166.38,Lotek6M,Antenna 1,75,91
237,8/30/2024,22:08:18,250635,201,166.38,Lotek6M,Antenna 1,75,84
238,8/30/2024,22:08:21,806453,25,166.38,Lotek6M,Antenna 1,75,90
239,8/30/2024,22:08:32,292848,24,166.38,Lotek6M,Antenna 1,75,97
240,8/30/2024,22:08:32,750725,201,166.38,Lotek6M,Antenna 1,75,92
241,8/30/2024,22:08:43,395445,24,166.38,Lotek6M,Antenna 1,75,86
242,8/30/2024,22:08:44,351168,201,166.38,Lotek6M,Antenna 1,75,98
243,8/30/2024,22:08:55,951317,201,166.38,Lotek6M,Antenna 1,75,102
244,8/30/2024,22:08:58,851627,201,166.38,Lotek6M,Antenna 1,75,88
245,8/30/2024,22:09:24,103680,24,166.38,Lotek6M,Antenna 1,75,82
246,8/30/2024,22:09:24,952197,201,166.38,Lotek6M,Antenna 1,75,91
247,8/30/2024,22:09:35,206000,24,166.38,Lotek6M,Antenna 1,75,82
248,8/30/2024,22:09:36,552315,201,166.38,Lotek6M,Antenna 1,75,99
